SMILES,Catalog ID
CCOC(=O)C1=CN(CC)N=C1NC(=O)CC2=CC=CO2,Z3016313898
CCC(CC)CN(CC)C(=O)C1=CN(N=N1)C(F)(F)CO,Z3016324232
COC(=O)[C@@H](CC1=CNC=N1)NS(=O)(=O)C2=CC=C(C)C(C)=C2,Z3016328431
CC=1ON=C(N)C1S(=O)(=O)N2CCCCC2CCN3C=CN=N3,Z3016329559
CC=1C=CC(=CC1S(=O)(=O)N2CC(C2)N3CCOCC3)[N+]([O-])=O,Z3016329600
NC(=O)C1(O)CCN(C1)C(=O)NC(C=2C=CC=CC2)C(F)(F)F,Z3016335710
CCOC=1C=CC=C(C1)NC(=O)N2CCN(C3CC3)C(C2)C(N)=O,Z3016335729
COC(=O)C1=NNC(NS(=O)(=O)C=2C=NN(C2)C(C)C)=C1Cl,Z3016338872
CN1C=C(C=N1)CCCNS(=O)(=O)C2=CC(C(=O)O)=C(Cl)O2,Z3016340647
CC1=CC=CC(C)=C1N2C=C(CNC(=O)C(F)(F)F)N=N2,Z3016340880
O=C(O)CCC1CC=2C=CC=CC2N(C1)S(=O)(=O)C3=CNC=N3,Z3016341054
CN(CC=1C(F)=CC=CC1Cl)C(=O)C2NCC=3N=CN=CC32,Z3019116159
O=C(NCC=1C=CC=C(C1)N2CCCC2=O)C3NCC=4N=CN=CC43,Z3019799545
CN1C=CN=C1C2(CNC(=O)C3=CC=C(CN4C=C(Cl)C=N4)S3)NC(=O)NC2=O,Z3024750460
CN1C=CN=C1C2(CNC(=O)C3=CC=C(C=4C=CC=CC4)N3C)NC(=O)NC2=O,Z3024750554
CCOC(=O)C=1NN=C(NC(=O)C=2C=CC(F)=C(C2)NC(C)=O)C1C,Z3026724764
CCC=1C=CC=CC1N2C=C(N=N2)C(=O)NC(C)C3=NN(C)C=C3O,Z3026724945
COC=1C=CC=C(C1)C(C)C(=O)N2CCC=3N=CC=C(O)C3C2,Z3026725012
CC(NC(=O)COCC1=NC=2C=CC=CC2S1)C=3C=NC=CN3,Z3026725153
CCCN(CC(=O)NC)S(=O)(=O)C1=CN=C2C=CC=CN12,Z3027211359
COCCOC=1C=CC=C(C1)C(=O)N(C)C=2C=CC(=CC2)C(=O)OC,Z3027248123
O=C(C1CS(=O)(=O)C1)N2CC3(CCNCC3)[C@H]4COC[C@H]42,Z3040252625
CC1(C)CN(C(=O)CN2CCCC2=O)C=3C=NC=CC3NC1=O,Z3040278454
CN1C=NC2=C1CCN(C(=O)CC3=CC=4C=CC=CC4N3C)C52CCOCC5,Z3040912144
CCC1=C(C=NN1C=2C=CC=CC2)NC(=O)N3CCN(CC)C4(CCOC4)C3,Z3043007209
CN1CCN(CC21CCOC2)C(=O)C=3C=CC=C4NC(=NC34)C5=CC=CS5,Z3043528159
"O=C(NC[C@@]12C[C@]2(CNC1)C(F)(F)F)N3CC=4C=CC=CC4C3 |&1:4,6,r|",Z3047228218
CC(C)(CC=1C=CC(O)=CC1)C(=O)N2CCC(C2)NS(C)(=O)=O,Z3049002267
NC(=O)NC(CO)C(=O)N1CCC(CC1)C=2C=CC=C(F)C2,Z3052017204
CS(=O)(=O)C1(CC1)C(=O)NCC=2C(F)=CC=CC2N3C=CC=N3,Z3052452858
CC(=O)N(C)C=1C=CC(=CN1)NC(=O)C(C)OC=2C=CC=NC2,Z3052666393
CN(C)C=1C=CC(=CC1)C(=O)N2CCOCC2C3=NN=NN3,Z3053627286
CC(C)(NC(=O)C1CCC2=CN=CN2C1)C(O)C(F)(F)F,Z3053696987
CC1=COC(=C1)C(=O)N2CC3(CCOCC3)CCC2CO,Z3053972355
CN1CCCC1C=2C=C(NN2)C(=O)NC=3C=CC=C(C3)C(O)CC(F)(F)F,Z3056631153
COC(=O)C=1SC(=NC1C)NCC=2C=CC(=CC2)NC(C)=O,Z3061108091
COCC(=O)N[C@@H]1CN(C[C@H]1C2=CC=NN2C)C=3N=CN=C4C(F)=CC=CC34,Z3062071443
CCC1=NOC(C)=C1CNC(=O)[C@H]2CC(=O)N(CCOC)[C@@H]2C3=NC=CN3C,Z3062925405
COCC(=O)N[C@@H]1CN(C[C@H]1C2=CC=NN2C)C(=O)C3=CC(F)=CC=C3C,Z3063105770
CCC1=NC(=NN1)[C@@H]2C[C@@H](O)CN2C(=O)C3=CC=4C=CC=CC4S3,Z3063544653
CC=1NC=NC1CC(=O)N2CCCC2C3=NC(=CN3)C=4C=CC=CC4,Z3063544916
CC1CN(CCN1C=2C=NC=CN2)C(=O)C3CCC4=CN=CN4C3,Z3063544985
CCOC=1C=CC=2OCCC(NC(=O)C=3NN=CC3Cl)C2C1,Z3063545403
CCN1N=CC(=N1)S(=O)(=O)NC2CCCN(C2)S(C)(=O)=O,Z3063553736
CN(C(=O)CC1=CNC2=CC=C(F)C=C12)C(CC(N)=O)C(F)(F)F,Z3063571215
COC(=O)C=1C=CC2=C(C1)CCCCN2CC3=CN=C4COCCN34,Z3068704642
CC=1C=C(C=CC1CNC=2N=CN=C3CCN(C)CC23)N4C=CC=N4,Z3068704705
CC=1C=CC(O)=CC1C(=O)N2CCCC3C=4N=CNC4CCC32,Z3071537774
CO[C@H]1C[C@@H](C(=O)NCC2=NC=3C(F)=C(F)C=CC3N2)N(C)C1,Z3071540526
O=C(CC(O)C1CC1)NCCC=2C=CC(=CC2)C(F)(F)F,Z3071553244
CC1(CC1)C=2C=C(NS(=O)(=O)C=3C=CC(F)=CC3F)ON2,Z3071600257
CC1=C(SC2=CN=CN12)C(=O)NC=3C=CC=C(C3)C4=CC=NN4,Z3074074715
O=S(=O)(C=1C=CC=C(N1)NCC2=CC=CO2)N3CCCC4CC43,Z3075076339
CC1CC=2C=CC=CC2N1C(=O)C3CC=4C=CC=NC4C3,Z3075296143
O=S1(=O)CC=2C=CC(=CC2C1)NC=3N=CN=C4C=CC(=CC34)N5CCOCC5,Z3077526346
COC1(CCN(CC1)C2=NC(C)=CN=C2C)C3=NC=CN3C,Z3077816601
COCC=1C=C(N=C(N1)C(C)(C)C)N2CC3(C2)CC(O)CNC3=O,Z3077895445
CC=1C=C2N=C(C=3C=CC=CC3N2N1)N4CC5(C4)CC(O)CNC5=O,Z3077895789
CN1C=NN=C1CC2CCN(CC2)C=3C=C(N=CN3)N4C=CN=C4,Z3077929725
CN1C[C@H](CC1=O)NC=2N=CN=C3C(=NSC23)C=4C=CC=CC4,Z3079200782
CC(C)(C)C1=CN2N=C(OC=3C=CC(=CC3F)C(N)=O)SC2=N1,Z3079773228
"CC1=NC(=NN1)C=2C=CC=C(C2)CNC(=O)[C@@H]3C[C@H]3C=4C=CN=CC4 |&1:16,18,r|",Z3083141262
C=CCC1(CCOCC1)NC(=O)C=2N=NNC2C=3C=CC=CC3,Z3086247804
CC=1C=C(C(F)F)N2N=CC(C(=O)N3CC=4C=CC=CC4[C@@H]3C)=C2N1,Z3086347253
CN1C=C(Cl)C(=N1)NC(=O)C2=CC(=NN2C)C3CCOCC3,Z3086659834
CN=S(=O)(C=1C=CC(=CC1)NC(=O)CCC=2C=NN(C)C2)N(C)C,Z3091862627
