Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Target ChEMBL ID,Target Name,Target Organism,Target Type
CHEMBL467807,,,Cc1cccc(N/C(=N\C(=O)c2ccc(F)cc2)N[C@H]2CCCCN(CC(=O)N3CCCC3)C2=O)c1,IC50,'=',222.0,nM,6.65,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL513010,,,COc1ccc(C(=O)/N=C(\Nc2cccc(C)c2)N[C@H]2CCCCN(CC(=O)N3CCCC3)C2=O)cc1,IC50,'=',709.0,nM,6.15,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL473359,,,CN(C)C(=N)c1ccc(C(=O)Nc2cc(Cl)ccc2C(=O)Nc2ccc(Cl)cn2)cc1,IC50,'=',2.0,nM,8.7,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL475552,,,CCc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1,IC50,'=',1.0,nM,9.0,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL475553,,,C#Cc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1,IC50,'<',0.5,nM,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL472968,,,COCCN(C)c1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1ccc(C(=N)N(C)C)cc1,IC50,'=',1.2,nM,8.92,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL474459,,,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)CCO)CC[C@@H]3NC(=O)c3cc4cc(Cl)ccc4[nH]3)sc2C1,IC50,'=',2.5,nM,8.6,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL480637,,,CCNC(=O)[C@H]1CC[C@H](NC(=O)c2cc3cc(Cl)ccc3[nH]2)[C@H](NC(=O)c2nc3c(s2)CN(C)CC3)C1,IC50,'=',3.5,nM,8.46,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL1221913,,,O=C(Nc1ccc(Cl)cn1)[C@H]1CN(CC(F)F)C[C@@H]1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,Kd,'=',3.7,nM,8.43,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL1221967,,,O=C(Nc1ccc(Cl)cn1)[C@H]1CN(CC(F)(F)F)C[C@@H]1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,Ki,'=',8.0,nM,8.1,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL258328,,,CCOC(=O)N1CCC(NC(=O)c2cc3cc(Cl)ccc3[nH]2)C(NC(=O)c2nc3c(s2)CN(C)CC3)C1,IC50,'=',4.5,nM,8.35,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
